NAME                                      READY   STATUS    RESTARTS   AGE
shop-aftersale-service-5cd9b4869b-jv869   1/1     Running   0          14m
shop-aftersale-service-5cd9b4869b-sl6qp   0/1     Pending   0          14m
shop-gateway-6976ffc675-bg5ct             0/1     Pending   0          14m
shop-gateway-6976ffc675-tmd76             1/1     Running   0          14m
shop-marketing-service-66bd747775-s5hmm   0/1     Pending   0          13m
shop-marketing-service-66bd747775-v9k2f   1/1     Running   0          14m
shop-order-service-558d7c987c-62rhw       0/1     Pending   0          14m
shop-order-service-558d7c987c-6r7dw       0/1     Pending   0          13m
shop-order-service-558d7c987c-srd2b       1/1     Running   0          14m
shop-order-service-558d7c987c-wjkdp       0/1     Pending   0          13m
shop-pay-service-569dffd8cb-qxmmd         1/1     Running   0          14m
shop-pay-service-569dffd8cb-x2scg         0/1     Pending   0          14m
shop-product-service-7d66f9b476-ld6s8     1/1     Running   0          14m
shop-product-service-7d66f9b476-ww6bs     0/1     Pending   0          12m
shop-settlement-service-8f47869b8-5zkrs   0/1     Pending   0          14m
shop-settlement-service-8f47869b8-dvx2d   1/1     Running   0          14m
shop-user-service-64bc7bdd57-c2sbk        0/1     Pending   0          14m
shop-user-service-64bc7bdd57-zvsdp        1/1     Running   0          14m
